Country;GDP95;GDP96
Latin America & Caribbean;3986.30459007065;4243.65313415945
Least developed countries: UN classification;271.899754942799;291.604936606818
Low income;267.536710124864;274.155744212268
Liechtenstein;78641.8845644053;79878.5648981493
Sri Lanka;714.233427260714;756.65707290313
Lower middle income;490.792179259353;527.918319679974
Low & middle income;1071.13050761474;1151.36302281852
Lesotho;527.699837938563;489.131819298193
Late-demographic dividend;1542.97391368164;1684.82167786575
Lithuania;2167.79258211454;2327.43485695499
Luxembourg;52831.2523660674;52571.9349918208
Latvia;2328.22753808855;2429.21247817783
Macao SAR China;18147.3362428736;18106.3257178294
St. Martin (French part);;
Morocco;1432.31015105914;1561.12944124979
Monaco;101910.108579759;101237.257655624
Moldova;593.766138282668;575.319575954883
Madagascar;284.822792066456;354.741560702408
Maldives;1569.96350410706;1737.70011132066
Middle East & North Africa;2478.46174870274;2748.52311280427
Mexico;3928.22392568469;4412.11634488536
Marshall Islands;2382.82101591454;2193.77436526626
Middle income;1136.94381693173;1223.98104273519
North Macedonia;2359.80033811007;2338.06831062022
Mali;282.341255036895;282.633000795618
Malta;9857.48066767838;10062.7336815598
Myanmar;;
Middle East & North Africa (excluding high income);1341.01495406411;1523.84378729222
Montenegro;;
Mongolia;631.920090007225;580.910844127533
Northern Mariana Islands;;
Mozambique;183.648985406082;241.647433333043
Mauritania;904.090723533681;898.512783261492
Mauritius;3599.55520192961;3899.43519244996
Malawi;141.954390617113;227.584770203676
Malaysia;4329.70736419882;4798.6131398692
North America;27891.3874429181;29105.3208625103
Namibia;2421.87049032266;2371.8846686715
New Caledonia;18721.0564384262;18257.2150489301
Niger;242.620422286477;244.813828868135
Nigeria;408.181059950305;461.519577890223
Nicaragua;890.005449052435;908.632506474851
Holand-Netherlands;29258.1343486211;29006.8094454171
Norway;34875.7043347536;37321.9741993473
Nepal;203.980809002282;204.685755187214
Nauru;;
New Zealand;17400.4201848172;18794.436039393
OECD members;22139.857215229;22159.9617521614
Oman;6261.73606140883;6830.63331610464
Other small states;3671.43392415749;3801.10304523502
Pakistan;489.88181401706;497.216143153388
Panama;3494.51601434918;3529.85222210421
Peru;2194.01796964931;2232.07590594091
Philippines;1062.13306455336;1160.30968118199
Palau;;
Papua New Guinea;893.77363601456;970.092302314454
Poland;3686.81929987805;4147.46550145483
Pre-demographic dividend;365.089668168977;391.127341849173
Puerto-Rico;11579.1849969985;12173.163688986
Korea Dem. People’s Rep.;;
Portugal;11781.3618502221;12185.0914010629
Paraguay;1897.09636155578;2002.68591835969
West Bank and Gaza;1326.56285737146;1317.46675131385
Pacific island small states;2011.32024864244;2126.59789683069
Post-demographic dividend;24983.2089635961;24973.6899259408
French Polynesia;18261.8268633935;17788.1490529454
Qatar;15849.7200813762;17337.4218651437
Romania;1650.27648080037;1633.01064354117
Russian Federation;2665.77986699982;2643.92919598833
Rwanda;221.628736244043;229.886958507161
South Asia;380.363746770312;407.761702554035
Saudi Arabia;7690.57752261971;8335.80386678597
Sudan;473.413389891928;300.564930338891
Senegal;710.724510163307;719.543347439523
Singapore;24914.411255678;26233.6288964795
Solomon Islands;1275.66535115324;1368.87882961047
Sierra Leone;202.315854783582;218.366586401519
El-Salvador;1585.10945883523;1684.78598536575
San Marino;;
Somalia;;
Serbia;2207.4505980581;2864.0847269944
Sub-Saharan Africa (excluding high income);607.091628087596;610.351743737676
South Sudan;;
Sub-Saharan Africa;613.670564336288;617.374574498235
Small states;3515.95508494696;3682.44775919071
Sao Tome and Principe;;
Suriname;1565.21202336887;1921.90543949937
Slovak Republic;4819.12555470987;5196.94037965932
Slovenia;10730.4510136379;10815.1110457688
Sweden;30282.9639200066;32998.9681608432
Eswatini;1833.08942716193;1695.13118924586
Sint Maarten (Dutch part);;
Seychelles;6748.93110885887;6583.20101813288
Syrian Arab Republic;794.445153001817;934.623028451503
Turks and Caicos Islands;;
Chad;206.261064484789;221.673009498141
East Asia & Pacific (IDA & IBRD countries);773.262861450273;877.418314759995
Europe & Central Asia (IDA & IBRD countries);2132.90843522798;2190.79695491529
Togo;309.818440171369;336.977236353739
Thailand;2846.58673831224;3043.98051668092
Tajikistan;213.635340168207;178.361221005225
Turkmenistan;589.905474021967;554.832750947803
Latin America & the Caribbean (IDA & IBRD countries);3930.57321442583;4201.75325935355
Timor-Leste;;
Middle East & North Africa (IDA & IBRD countries);1341.02770333657;1525.88441162041
Tonga;2176.29081808095;2306.98685644856
South Asia (IDA & IBRD);380.363746770312;407.761702554035
Sub-Saharan Africa (IDA & IBRD countries);613.670564336288;617.374574498235
Trinadad&Tobago;4249.09437348112;4579.97082122924
Tunisia;1975.90029490707;2113.5862918713
Turkey;2897.86649148369;3053.94702504913
Tuvalu;1185.84051888057;1323.05547914829
Tanzania;182.361883690418;219.550188812563
Uganda;281.966202349409;287.388236078175
Ukraine;935.95898840846;872.69874195784
Upper middle income;1680.92435080879;1814.85489995766
Uruguay;5985.10585663924;6317.56576737168
United-States;28690.8757013347;29967.7127181749
Uzbekistan;585.932364161135;600.598157828584
St. Vincent and the Grenadines;2925.0565231775;3070.03133755375
Venezuela RB;3529.58961099889;3151.26927826974
British Virgin Islands;;
Virgin Islands (U.S.);;
Vietnam;276.812666510629;324.147206885621
Vanuatu;1482.73201442993;1522.05334486329
World;5412.43948185318;5453.38368116886
Samoa;1322.31956544335;1460.04715133918
Kosovo;;
Yemen Rep.;285.569554820636;374.011431361723
South;3751.8543280995;3494.38356656924
Zambia;418.515070713827;385.152440867439
Zimbabwe;623.209967404318;741.095726733151
