Country;GDP95;GDP96
Aruba;16439.3563609282;16586.0684357542
Afghanistan;;
Angola;397.179450769472;522.643807265256
Albania;750.604449178826;1009.97766752106
Andorra;18461.0648581512;19017.1745902241
Arab World;2072.74455320341;2235.93417589666
United Arab Emirates;27222.0358561647;28975.0229000791
Argentina;7408.70823818765;7721.35454273963
Armenia;456.375048663809;504.058559449916
American Samoa;;
Antigua and Barbuda;8406.6037786731;9030.96104811864
Australia;20319.6306283956;21861.32550987
Austria;30325.8495818396;29809.0767730821
Azerbaijan;397.198116117247;409.210755159618
Burundi;167.098915756122;143.402300109205
Belgium;28413.8264387368;27489.5551770488
Benin;367.387341032599;387.432924636251
Burkina Faso;235.832197299769;249.360294415648
Bangladesh;329.424084643072;394.717475124248
Bulgaria;2258.28601787597;1470.10370331004
Bahrain;10376.9717049211;10544.7035702291
Bahamas The;12238.3862033521;12708.730958032
Bosnia and Herzegovina;487.476777199737;740.098506846976
Belarus;1370.67655885011;1452.44548758328
Belize;2996.38292834951;3001.83372023364
Bermuda;33989.7231613832;44826.7890701658
Bolivia;880.992224046171;950.856508392184
Brazil;4748.21552893015;5166.16374470632
Barbados;8335.89929257052;8850.98017019495
Brunei Darussalam;15933.3455733721;16793.2809740578
Bhutan;566.857698632761;584.379158121735
Botswana;3219.91205059617;3221.6762095454
Central African Republic;346.108840593345;304.631259709054
Canada;20613.7878829216;21227.3475315896
Central Europe and the Baltics;3578.61364439191;3793.63346349414
Switzerland;48662.4397857994;46676.8509670492
Channel Islands;;
Chile;5107.27680233606;5349.80412655622
China;609.656679202484;709.413755085039
Cote d'Ivoire;774.671212059542;827.762005660526
Cameroon;709.114829717018;752.525099406841
Congo Dem. Rep.;135.737146758047;134.981924340258
Congo Rep.;781.523568459189;912.01398805266
Columbia;2539.91287721915;2620.53876171399
Comoros;838.171684031953;810.544234422824
Cabo Verde;1261.1161568512;1269.12057723296
Costa Rica;3247.3169868703;3198.54867220364
Caribbean small states;3507.90349711236;3799.49531675294
Cuba;2794.73726831627;2286.92738187011
Curacao;;
Cayman Islands;;
Cyprus;15261.4105623727;15139.22613332
Czech Republic;5824.12129119574;6532.83705470198
Germany;31658.3493789135;30485.8665482279
Djibouti;789.551769053208;767.500314974148
Dominica;3861.17961332454;4120.41840532311
Denmark;35351.3654606819;35650.7140860994
Dominican-Republic;2122.79766522244;2293.75524634537
Algeria;1452.26944487837;1603.93792062434
East Asia & Pacific (excluding high income);764.982973152771;868.031478872615
Early-demographic dividend;1108.51730816833;1183.84062964897
East Asia & Pacific;4276.20417729569;4073.04060931058
Europe & Central Asia (excluding high income);1965.61250721965;1982.51268966074
Europe & Central Asia;12690.7758034313;12930.4482568151
Ecuador;2132.90696893928;2155.51722947965
Egypt Arab Rep.;965.110730046031;1063.33309452077
Euro area;23697.8592021255;23916.6121814645
Eritrea;262.23112962306;315.751113694587
Spain;15471.962716535;16109.0843985284
Estonia;3130.80698411582;3376.79474006
Ethiopia;134.342955536621;145.166903727133
European Union;19466.4184799207;19752.4254575431
Fragile and conflict affected situations;620.888047458703;627.522450744079
Finland;26271.5998141691;25783.4504878611
Fiji;2540.99070957207;2714.56493158452
France;26890.2198804535;26871.8290189054
Faroe Islands;;
Micronesia Fed. Sts.;2060.60969598899;2017.47306616446
Gabon;4570.59236712951;5116.14605875863
England;23123.1777902009;24332.6977665594
Georgia;578.336763329878;689.034413652597
Ghana;379.988007250646;397.13593689471
Gibraltar;;
Guinea;508.107829366703;518.374233185848
Gambia The;696.450818503128;728.669071886674
Guinea-Bissau;233.242401899793;243.438734191465
Equatorial Guinea;285.552548185098;450.638140004534
Greece;12959.3242908115;13749.1151120679
Grenada;3411.89891630622;3632.75061083004
Greenland;21665.7018983672;21422.3575434047
Guatemala;1424.68254256258;1487.60765839974
Guam;;
Guyana;816.542932880453;927.195895641403
High income;24272.4826464742;24324.45664202
Hong;23497.4923138193;24818.1545523517
Honduras;936.666998051461;887.693367816126
Heavily indebted poor countries (HIPC);324.955056475154;330.026367110655
Croatia;4877.52746627761;5232.81436602408
Haiti;363.265825942713;368.632237698081
Hungary;4494.70762405948;4525.03910312241
IBRD only;1307.99214574843;1410.44975248999
IDA & IBRD total;1118.10346029049;1203.17428184112
IDA total;372.274053709806;398.964313432326
IDA blend;488.110326133461;527.356344739796
Indonesia;1026.39342043947;1137.41011823586
IDA only;312.411063431316;332.462759695724
Isle of Man;12681.4695573785;14038.3506494098
India;373.766480007829;399.950076763934
Not classified;;
Ireland;19181.4006214183;20860.5969578977
Iran;1569.25529374222;1932.80498450661
Iraq;;
Iceland;26673.6253365518;27659.8761253339
Israel;18103.6624985473;19324.6393805472
Italy;20664.5522701724;23081.6046757702
Jamaica;2580.73638616687;2879.65819301448
Jordan;1466.04419293057;1463.88611150141
Japan;43440.3678678967;38436.9263119118
Kazakhstan;1288.23905213205;1350.3338662339
Kenya;325.778940846373;421.339270776481
Kyrgyz Republic;364.226497350785;394.860121460514
Cambodia;322.931787568498;319.286371696389
Kiribati;724.85658259478;843.001873059911
St. Kitts and Nevis;7450.27414466776;7862.69646930788
Korea Rep.;12564.7781344586;13403.049586225
Kuwait;16932.1483001751;19358.3824351371
Latin America & Caribbean (excluding high income);3852.50217144654;4107.51679581708
Lao PDR;363.879601876172;378.428147214229
Lebanon;3321.29632536572;3791.60551678699
Liberia;;
Libya;5161.68334189342;5536.86826452386
St. Lucia;5194.81829483872;5300.4615134236
